group,rank,gene,score,p_value,p_value_adj_BH,mean_logcounts_group,mean_logcounts_rest,mean_log2_expression_difference,pct_cells_expressing_group,pct_cells_expressing_rest,n_cells_group,n_cells_rest,is_mitochondrial,is_ribosomal
Innate lymphoid cell,10,IFITM2,290.44740482360265,0.0,0.0,2.684919107098839,1.3955869067661084,1.860113171478486,95.48001400770424,72.93694983611043,39978,533591,False,False
Innate lymphoid cell,11,KLRF1,287.9614255117908,0.0,0.0,1.5106796681028265,0.037766702927559,2.1249642305194167,73.27780279153534,2.5952461716933004,39978,533591,False,False
Innate lymphoid cell,12,GZMB,283.53838959967845,0.0,0.0,2.0570417007773463,0.1469327237469845,2.755704748719194,74.8261543849117,7.033664360905638,39978,533591,False,False
Innate lymphoid cell,13,CD7,272.8910832254519,0.0,0.0,2.2135112522659632,0.7709866964566777,2.0811230230266107,87.94086747711242,46.48223077225816,39978,533591,False,False
Innate lymphoid cell,14,TRDC,248.64375198911253,0.0,0.0,1.4807851482305958,0.0739754728843327,2.0295973420966664,68.87288008404623,3.756247762799597,39978,533591,False,False
Innate lymphoid cell,15,FCER1G,241.7964051749963,0.0,0.0,1.8152020036728105,0.4112326890523992,2.0254995677631444,76.65466006303467,16.70043160398133,39978,533591,False,False
Innate lymphoid cell,16,FGFBP2,234.13096260258675,0.0,0.0,1.885353095545347,0.1525852387853999,2.4998555939593734,65.8662264245335,7.338766958213314,39978,533591,False,False
Innate lymphoid cell,17,SRGN,231.8626176723739,0.0,0.0,2.398009226895594,1.342861824488205,1.5222559248600116,92.9911451298214,67.49120581119247,39978,533591,False,False
Innate lymphoid cell,18,ID2,226.76914065173116,0.0,0.0,1.737397477868484,0.5110025378396581,1.769313898150905,78.51318225023763,32.04832915097893,39978,533591,False,False
Innate lymphoid cell,19,CD247,223.51325356558075,0.0,0.0,1.8616305284999828,0.6550382428050303,1.7407447069469872,80.95452498874381,43.2143720565002,39978,533591,False,False
Innate lymphoid cell,20,FCGR3A,221.80202405372253,0.0,0.0,1.4637318673795037,0.1539637506256883,1.8895959667552065,65.1858522187203,8.85397242457238,39978,533591,False,False
Innate lymphoid cell,21,HCST,220.63378846080207,0.0,0.0,2.5805307809054545,1.6450295981649214,1.349642917085527,95.024763619991,79.53095160900389,39978,533591,False,False
Innate lymphoid cell,22,KLRB1,215.7840869550864,0.0,0.0,1.9480838683360169,0.6071696753385388,1.934530256495088,77.8728300565311,27.648704719532372,39978,533591,False,False
